difficulty	time_ms	duration_ms	lane	confidence	review_priority	beat_alignment	quantization_shift_ms	source	evidence	reason
expert	147989	0	2	0.45889	0.622021	0.178389	21.3333	mid	DSP	low confidence, weak beat alignment, single-source evidence, large timing snap
expert	135365	0	2	0.395381	0.620515	0.00101269	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	91146.7	0	2	0.438784	0.620409	0.00101269	10.6667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	45984	0	1	0.346292	0.620034	0.000365098	0	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	176496	0	0	0.399793	0.619728	0.00101269	-5.33333	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	45056	0	1	0.346816	0.619677	0.00101269	0	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	90832	0	2	0.399823	0.619616	0.00101269	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	15597.3	0	2	0.390191	0.619308	0.105244	-8	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	13818.7	0	0	0.404535	0.618967	0.00101269	-5.33333	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	141547	0	1	0.362578	0.618071	0.00101269	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	52789.3	0	2	0.362133	0.617855	0.00101269	5.09317e-11	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	170000	0	1	0.404209	0.617637	0.00101269	-5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	43818.7	0	0	0.351276	0.617589	0.000365098	0	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	83722.7	0	2	0.428222	0.616442	0.00101269	10.6667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	94858.7	0	2	0.441158	0.615825	0.00261811	10.6667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	97941.3	0	1	0.362967	0.615182	0.00101269	0	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	120523	0	2	0.368137	0.613817	0.000365098	-1.45519e-11	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	135685	0	1	0.409905	0.613687	0.000365098	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	161419	0	1	0.361708	0.613259	0.281829	-10.6667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	51242.7	0	0	0.372135	0.613204	0.000365098	5.09317e-11	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	159504	0	2	0.493512	0.612272	0.00630873	16	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	152373	0	1	0.374153	0.610891	0.000365098	-2.91038e-11	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	150592	0	2	0.365434	0.610547	0.0296607	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	67400	0	1	0.365023	0.61054	0.178389	8	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	178123	0	1	0.369433	0.610438	0.0296607	0	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	42581.3	0	2	0.366249	0.610242	0.000365098	7.27596e-12	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	176187	0	1	0.421134	0.609619	0.00101269	-5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	131035	0	2	0.419381	0.609068	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	49386.7	0	1	0.368704	0.608937	0.00101269	3.63798e-11	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	156160	0	0	0.381812	0.607225	0.000365098	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	35546.7	0	2	0.368957	0.606928	0.178389	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	145339	0	1	0.428918	0.6059	0.00101269	-5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	126091	0	2	0.386138	0.605105	0.00101269	-1.45519e-11	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	11885.3	0	0	0.420428	0.605066	0.105244	-8	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	165365	0	2	0.389337	0.604923	0.000365098	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	28666.7	0	2	0.433233	0.604755	0.00101269	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	157107	0	2	0.356511	0.604726	0.281829	8	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	92378.7	0	2	0.43313	0.60383	0.00101269	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	45138.7	0	2	0.346903	0.603712	0.414998	-13.3333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	160819	0	1	0.361627	0.603539	0.281829	8	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	146424	0	1	0.357252	0.602955	0.178389	2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	34920	0	1	0.405666	0.602392	0.281829	-13.3333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	6762.67	0	2	0.381767	0.602226	0.0578719	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	68626.7	0	2	0.344096	0.601691	0.178389	-2.66667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	145963	0	2	0.379254	0.601412	0.0578719	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	167840	0	1	0.396894	0.601232	0.00101269	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	174021	0	0	0.439409	0.600962	0.00101269	-5.33333	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	45757.3	0	1	0.352578	0.600497	0.414998	-13.3333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	155469	0	1	0.359188	0.600251	0.178389	2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	118352	0	1	0.4438	0.6002	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	77906.7	0	2	0.347127	0.600126	0.178389	-2.66667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	147440	0	2	0.443959	0.598874	0.000365098	5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	107835	0	2	0.448028	0.598763	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	3842.67	0	2	0.447964	0.598622	0.105244	-8	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	166923	0	2	0.482681	0.59816	0.00630873	10.6667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	133509	0	2	0.44279	0.597901	0.00101269	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	134691	0	2	0.40548	0.597284	0.0578719	2.66667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	75432	0	2	0.353661	0.596874	0.178389	-2.66667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	16912	0	2	0.45299	0.596192	0.00101269	5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	139464	0	2	0.372298	0.595798	0.178389	-2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	11730.7	0	1	0.423399	0.595711	0.281829	-13.3333	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	56501.3	0	1	0.407706	0.595241	0.000365098	-7.27596e-12	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	124931	0	0	0.376479	0.595149	0.281829	-8	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	13200	0	2	0.45677	0.594415	0.00101269	-5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	148352	0	2	0.356195	0.593828	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	14205.3	0	2	0.381554	0.592874	0.178389	-2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	102891	0	2	0.42064	0.592461	0.000365098	-1.45519e-11	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	151755	0	2	0.355568	0.59236	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	161664	0	1	0.497089	0.592236	0.000365098	10.6667	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	151448	0	2	0.376863	0.591756	0.178389	2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	154851	0	1	0.376981	0.59165	0.178389	2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	68008	0	1	0.364547	0.591457	0.178389	-2.66667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	112784	0	1	0.462445	0.591424	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	175645	0	1	0.38187	0.59123	0.178389	-2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	88976	0	2	0.441155	0.590531	0.00261811	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	38560	0	2	0.420684	0.590444	0.00101269	0	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	79690.7	0	1	0.403547	0.590135	0.00101269	-1.45519e-11	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	74816	0	2	0.350195	0.589027	0.178389	0	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	158875	0	0	0.46325	0.588957	0.00101269	5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	76672	0	2	0.35081	0.588664	0.178389	0	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	29978.7	0	1	0.408974	0.587885	0.178389	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	147357	0	1	0.431083	0.587047	0.178389	8	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	123691	0	1	0.367532	0.586612	0.178389	-1.45519e-11	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	174331	0	2	0.470303	0.586328	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	76050.7	0	1	0.375514	0.586061	0.178389	-2.66667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	54336	0	2	0.429168	0.586017	0.00101269	5.82077e-11	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	176805	0	0	0.470995	0.586	0.00101269	-5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	160416	0	2	0.429304	0.58583	0.00101269	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	157013	0	1	0.370985	0.584951	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	155776	0	1	0.372249	0.584344	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	169072	0	0	0.47512	0.584046	0.00101269	-5.33333	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	168224	0	2	0.375428	0.583988	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	155869	0	2	0.399897	0.583807	0.281829	8	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	83330.7	0	2	0.380367	0.583647	0.178389	2.66667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	165675	0	2	0.376659	0.583525	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	172789	0	2	0.435922	0.583455	0.000365098	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	89904	0	2	0.476346	0.583348	0.00101269	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	77290.7	0	1	0.362291	0.58301	0.178389	0	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	161344	0	2	0.436219	0.582544	0.00101269	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	156861	0	1	0.396475	0.582331	0.178389	-2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	46912	0	3	0.423472	0.582064	0.00101269	0	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	93925.3	0	2	0.479684	0.581517	0.00261811	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	175259	0	2	0.481118	0.581205	0.00101269	-5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	14437.3	0	1	0.485029	0.581133	0.00101269	-5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	149283	0	2	0.400427	0.580431	0.178389	2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	144107	0	1	0.443835	0.579574	0.00101269	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	1813.33	0	2	0.442732	0.579383	0.0578719	0	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	11349.3	0	2	0.447861	0.579343	0.00101269	-1.81899e-12	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	171547	0	1	0.487231	0.578309	0.00101269	-5.33333	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	150136	0	2	0.40495	0.578258	0.178389	2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	66637.3	0	1	0.348039	0.577588	0.569573	13.3333	high	DSP	low confidence, single-source evidence
expert	124229	0	2	0.485397	0.576874	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	88280	0	1	0.394275	0.576728	0.178389	2.66667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	13122.7	0	1	0.481469	0.576313	0.105244	-8	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	10493.3	0	0	0.421306	0.576179	0.414998	-13.3333	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	157944	0	2	0.410168	0.57575	0.178389	2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	155160	0	1	0.410255	0.575709	0.178389	2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	167531	0	1	0.451764	0.575256	0.000365098	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	64781.3	0	1	0.353392	0.574895	0.569573	13.3333	high	DSP	low confidence, single-source evidence
expert	67256	0	2	0.353523	0.574829	0.569573	13.3333	high	DSP	low confidence, single-source evidence
expert	154005	0	1	0.392478	0.574622	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	162891	0	1	0.454164	0.574016	0.00101269	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	66018.7	0	2	0.35598	0.573592	0.569573	13.3333	high	DSP	low confidence, single-source evidence
expert	142253	0	2	0.41911	0.573484	0.178389	2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	164144	0	0	0.57529	0.573404	0.00630873	16	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	63776	0	1	0.337592	0.573216	0.569573	10.6667	high	DSP	low confidence, single-source evidence
expert	72824	0	2	0.358275	0.572438	0.569573	13.3333	high	DSP	low confidence, single-source evidence
expert	177739	0	1	0.459846	0.572122	0.000365098	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	45674.7	0	2	0.4438	0.57209	0.00101269	2.18279e-11	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	123616	0	2	0.458556	0.570457	0.00101269	0	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	170624	0	1	0.405532	0.570393	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	74061.3	0	3	0.364837	0.569136	0.569573	13.3333	high	DSP	low confidence, single-source evidence
expert	160725	0	2	0.408793	0.568192	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	41349.3	0	2	0.492481	0.567463	0.00101269	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
